iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
AFG,Asia,Afghanistan,2020-06-11,22143,684,405,21,568.814,17.571,10.404,0.539,,,,,,,,,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5
ALB,Europe,Albania,2020-06-11,1341,42,34,0,465.981,14.594,11.815,0.0,,,,,,,,,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89
DZA,Africa,Algeria,2020-06-11,10484,102,732,8,239.082,2.326,16.693,0.182,,,,,,,,86.57,43851043.0,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9
AND,Europe,Andorra,2020-06-11,852,0,51,0,11026.985,0.0,660.066,0.0,,,,,,,,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,
AGO,Africa,Angola,2020-06-11,113,17,4,0,3.438,0.517,0.122,0.0,,,,,,,,,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,
AIA,North America,Anguilla,2020-06-11,3,0,0,0,199.973,0.0,0.0,0.0,,,,,,,,,15002.0,,,,,,,,,,,,
ATG,North America,Antigua and Barbuda,2020-06-11,26,0,3,0,265.501,0.0,30.635,0.0,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8
ARG,South America,Argentina,2020-06-11,25987,1239,735,18,574.987,27.414,16.263,0.398,,,,,,,,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0
ARM,Asia,Armenia,2020-06-11,14103,428,227,10,4759.327,144.437,76.605,3.375,,,,,,,,,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2
ABW,North America,Aruba,2020-06-11,101,0,3,0,945.994,0.0,28.099,0.0,,,,,,,,,106766.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,
AUS,Oceania,Australia,2020-06-11,7276,9,102,0,285.335,0.353,4.0,0.0,1711223.0,31269.0,67.107,1.226,23556.0,0.924,tests performed,,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84
AUT,Europe,Austria,2020-06-11,16936,34,673,1,1880.441,3.775,74.725,0.111,512501.0,6157.0,56.904,0.684,5862.0,0.651,tests performed,,9006400.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37
AZE,Asia,Azerbaijan,2020-06-11,8530,339,102,4,841.291,33.435,10.06,0.395,,,,,,,,,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7
BHS,North America,Bahamas,2020-06-11,103,0,11,0,261.921,0.0,27.972,0.0,,,,,,,,,393248.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9
BHR,Asia,Bahrain,2020-06-11,16200,0,31,2,9520.546,0.0,18.218,1.175,393910.0,7776.0,231.496,4.57,6939.0,4.078,units unclear,75.0,1701583.0,1935.907,32.4,2.372,1.387,43290.705,,151.689,16.52,5.8,37.6,,2.0
BGD,Asia,Bangladesh,2020-06-11,74865,3190,1012,37,454.583,19.37,6.145,0.225,457332.0,15772.0,2.777,0.096,14151.0,0.086,samples tested,,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8
BRB,North America,Barbados,2020-06-11,96,4,7,0,334.063,13.919,24.359,0.0,,,,,,,,,287371.0,664.463,39.8,14.952,9.473,16978.068,,170.05,13.57,1.9,14.5,88.469,5.8
BLR,Europe,Belarus,2020-06-11,51066,801,288,6,5404.198,84.768,30.478,0.635,,,,,,,,,9449321.0,46.858,40.3,14.799,9.788,17167.967,,443.129,5.18,10.5,46.1,,11.0
BEL,Europe,Belgium,2020-06-11,59569,132,9629,10,5139.86,11.39,830.83,0.863,,,,,,,,,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64
BLZ,North America,Belize,2020-06-11,19,0,2,0,47.784,0.0,5.03,0.0,,,,,,,,,397621.0,16.426,25.0,3.853,2.279,7824.362,,176.957,17.11,,,90.083,1.3
BEN,Africa,Benin,2020-06-11,305,0,4,0,25.158,0.0,0.33,0.0,,,,,,,,,12123198.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5
BMU,North America,Bermuda,2020-06-11,141,0,9,0,2264.224,0.0,144.525,0.0,,,,,,,,,62273.0,1308.82,,,,50669.315,,139.547,13.0,,,,
BTN,Asia,Bhutan,2020-06-11,62,3,0,0,80.351,3.888,0.0,0.0,,,,,,,,,771612.0,21.188,28.6,4.885,2.977,8708.597,1.5,217.066,9.75,,,79.807,1.7
BOL,South America,Bolivia,2020-06-11,15281,637,512,25,1309.086,54.57,43.862,2.142,,,,,,,,,11673029.0,10.202,25.4,6.704,4.393,6885.829,7.1,204.299,6.89,,,25.383,1.1
BES,North America,Bonaire Sint Eustatius and Saba,2020-06-11,7,0,0,0,266.962,0.0,0.0,0.0,,,,,,,,,26221.0,,,,,,,,,,,,
BIH,Europe,Bosnia and Herzegovina,2020-06-11,2776,49,160,1,846.131,14.935,48.768,0.305,,,,,,,,,3280815.0,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5
BWA,Africa,Botswana,2020-06-11,48,6,1,0,20.411,2.551,0.425,0.0,,,,,,,,,2351625.0,4.044,25.8,3.941,2.242,15807.374,,237.372,4.81,5.7,34.4,,1.8
BRA,South America,Brazil,2020-06-11,772416,32913,39680,1274,3633.883,154.841,186.677,5.994,,,,,,,,,212559409.0,25.04,33.5,8.552,5.06,14103.452,3.4,177.961,8.11,10.1,17.9,,2.2
VGB,North America,British Virgin Islands,2020-06-11,8,0,1,0,264.577,0.0,33.072,0.0,,,,,,,,,30237.0,207.973,,,,,,,13.67,,,,
BRN,Asia,Brunei,2020-06-11,141,0,2,0,322.298,0.0,4.572,0.0,,,,,,,,,437483.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7
BGR,Europe,Bulgaria,2020-06-11,2889,0,167,0,415.776,0.0,24.034,0.0,95820.0,2308.0,13.79,0.332,1427.0,0.205,tests performed,,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454
BFA,Africa,Burkina Faso,2020-06-11,891,0,53,0,42.625,0.0,2.535,0.0,,,,,,,,,20903278.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4
